trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
118,False,"{'a': 0.01, 'e': 0.3809248243668818}",30,13,-1.614259965650947,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
119,False,"{'a': 0.01, 'e': 0.371659872260533}",20,13,9.0035598382252,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.01, 'e': 0.3623577544766736}",25,15,-1.146898951219706,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
121,False,"{'a': 0.01, 'e': 0.35301940121933034}",25,0,-32.641134674128146,"{0: 21, 1: 0, 2: 2, 3: 2, 4: 0}",0
122,False,"{'a': 0.01, 'e': 0.34364574631604705}",20,7,-24.066397456475634,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 1}",1
123,False,"{'a': 0.01, 'e': 0.3342377271245026}",20,14,-8.552427722428815,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 0}",1
124,False,"{'a': 0.01, 'e': 0.32479628443877623}",30,17,21.929788874103576,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.01, 'e': 0.3153223623952687}",30,16,-34.72060849574017,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 1}",1
126,False,"{'a': 0.01, 'e': 0.3058169083782893}",25,14,-74.56844552061222,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 2}",1
127,False,"{'a': 0.01, 'e': 0.2962808729253187}",20,2,18.572151899041945,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
128,False,"{'a': 0.01, 'e': 0.28671520963195546}",20,8,22.51798365923936,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.01, 'e': 0.2771208750565576}",30,12,-9.059853495970291,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
130,False,"{'a': 0.01, 'e': 0.26749882862458735}",25,18,3.941980964445629,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.01, 'e': 0.2578500325326696}",25,11,7.989570198239797,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.01, 'e': 0.2481754516523729}",30,12,9.866437621324245,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
